availability_id,corridor_id,window_start,window_end,is_available,reserved_by,source_version
AV00111,SEC002,2026-09-13T00:00:00,2026-09-13T05:30:00,True,,1
AV00112,SEC002,2026-09-13T14:00:00,2026-09-13T16:00:00,True,,1
AV00113,SEC003,2026-09-13T23:00:00,2026-09-13T03:30:00,True,,1
AV00114,SEC003,2026-09-13T11:00:00,2026-09-13T14:00:00,True,,1
AV00115,SEC004,2026-09-13T00:00:00,2026-09-13T05:30:00,True,,1
AV00116,SEC004,2026-09-13T11:00:00,2026-09-13T16:00:00,True,,1
AV00117,SEC005,2026-09-13T23:00:00,2026-09-13T03:30:00,True,,1
AV00118,SEC005,2026-09-13T13:00:00,2026-09-13T16:00:00,True,,1
AV00119,SEC006,2026-09-13T00:00:00,2026-09-13T03:30:00,True,,1
AV00120,SEC006,2026-09-13T14:00:00,2026-09-13T15:00:00,True,,1
AV00121,SEC007,2026-09-13T01:00:00,2026-09-13T03:30:00,True,,1
AV00122,SEC007,2026-09-13T13:00:00,2026-09-13T14:00:00,True,,1
AV00123,SEC008,2026-09-13T00:00:00,2026-09-13T04:30:00,True,,1
AV00124,SEC008,2026-09-13T13:00:00,2026-09-13T16:00:00,True,,1
AV00125,SEC009,2026-09-13T00:00:00,2026-09-13T05:30:00,True,,1
AV00126,SEC009,2026-09-13T13:00:00,2026-09-13T16:00:00,True,,1
