priority_score_id,task_id,score_value,score_breakdown,model_version_id,computed_at
PSC0025,TASK0025,33.0,"{""criticality_component"": 10.0, ""urgency_component"": 20.0, ""impact_component"": 3.0}",MODEL_PRIORITY_v1,2026-09-01T10:00:00
PSC0026,TASK0026,75.0,"{""criticality_component"": 40.0, ""urgency_component"": 29.0, ""impact_component"": 6.0}",MODEL_PRIORITY_v1,2026-08-28T10:00:00
PSC0027,TASK0027,37.0,"{""criticality_component"": 20.0, ""urgency_component"": 13.0, ""impact_component"": 4.0}",MODEL_PRIORITY_v1,2026-09-06T10:00:00
PSC0028,TASK0028,31.0,"{""criticality_component"": 20.0, ""urgency_component"": 10.0, ""impact_component"": 1.0}",MODEL_PRIORITY_v1,2026-09-03T10:00:00
PSC0029,TASK0029,62.0,"{""criticality_component"": 30.0, ""urgency_component"": 26.0, ""impact_component"": 6.0}",MODEL_PRIORITY_v1,2026-08-28T10:00:00
PSC0030,TASK0030,79.0,"{""criticality_component"": 40.0, ""urgency_component"": 28.0, ""impact_component"": 11.0}",MODEL_PRIORITY_v1,2026-09-01T10:00:00
PSC0031,TASK0031,71.0,"{""criticality_component"": 40.0, ""urgency_component"": 28.0, ""impact_component"": 3.0}",MODEL_PRIORITY_v1,2026-09-07T10:00:00
PSC0032,TASK0032,22.0,"{""criticality_component"": 10.0, ""urgency_component"": 6.0, ""impact_component"": 6.0}",MODEL_PRIORITY_v1,2026-08-31T10:00:00
PSC0033,TASK0033,84.0,"{""criticality_component"": 50.0, ""urgency_component"": 29.0, ""impact_component"": 5.0}",MODEL_PRIORITY_v1,2026-09-02T10:00:00
PSC0034,TASK0034,33.0,"{""criticality_component"": 20.0, ""urgency_component"": 7.0, ""impact_component"": 6.0}",MODEL_PRIORITY_v1,2026-09-07T10:00:00
PSC0035,TASK0035,32.0,"{""criticality_component"": 10.0, ""urgency_component"": 21.0, ""impact_component"": 1.0}",MODEL_PRIORITY_v1,2026-09-04T10:00:00
PSC0036,TASK0036,47.0,"{""criticality_component"": 20.0, ""urgency_component"": 22.0, ""impact_component"": 5.0}",MODEL_PRIORITY_v1,2026-09-06T10:00:00
PSC0037,TASK0037,36.0,"{""criticality_component"": 20.0, ""urgency_component"": 15.0, ""impact_component"": 1.0}",MODEL_PRIORITY_v1,2026-08-28T10:00:00
PSC0038,TASK0038,26.0,"{""criticality_component"": 20.0, ""urgency_component"": 2.0, ""impact_component"": 4.0}",MODEL_PRIORITY_v1,2026-09-03T10:00:00
PSC0039,TASK0039,29.0,"{""criticality_component"": 20.0, ""urgency_component"": 5.0, ""impact_component"": 4.0}",MODEL_PRIORITY_v1,2026-09-06T10:00:00
PSC0040,TASK0040,26.0,"{""criticality_component"": 10.0, ""urgency_component"": 12.0, ""impact_component"": 4.0}",MODEL_PRIORITY_v1,2026-09-04T10:00:00
PSC0041,TASK0041,73.0,"{""criticality_component"": 40.0, ""urgency_component"": 27.0, ""impact_component"": 6.0}",MODEL_PRIORITY_v1,2026-08-28T10:00:00
PSC0042,TASK0042,13.0,"{""criticality_component"": 10.0, ""urgency_component"": 2.0, ""impact_component"": 1.0}",MODEL_PRIORITY_v1,2026-09-05T10:00:00
PSC0043,TASK0043,25.0,"{""criticality_component"": 10.0, ""urgency_component"": 14.0, ""impact_component"": 1.0}",MODEL_PRIORITY_v1,2026-09-04T10:00:00
PSC0044,TASK0044,39.0,"{""criticality_component"": 20.0, ""urgency_component"": 15.0, ""impact_component"": 4.0}",MODEL_PRIORITY_v1,2026-09-07T10:00:00
PSC0045,TASK0045,27.0,"{""criticality_component"": 10.0, ""urgency_component"": 13.0, ""impact_component"": 4.0}",MODEL_PRIORITY_v1,2026-09-05T10:00:00
PSC0046,TASK0046,52.0,"{""criticality_component"": 30.0, ""urgency_component"": 21.0, ""impact_component"": 1.0}",MODEL_PRIORITY_v1,2026-09-07T10:00:00
PSC0047,TASK0047,33.0,"{""criticality_component"": 20.0, ""urgency_component"": 12.0, ""impact_component"": 1.0}",MODEL_PRIORITY_v1,2026-08-30T10:00:00
PSC0048,TASK0048,46.0,"{""criticality_component"": 20.0, ""urgency_component"": 22.0, ""impact_component"": 4.0}",MODEL_PRIORITY_v1,2026-09-04T10:00:00
PSC0049,TASK0049,37.0,"{""criticality_component"": 20.0, ""urgency_component"": 6.0, ""impact_component"": 11.0}",MODEL_PRIORITY_v1,2026-09-01T10:00:00
PSC0050,TASK0050,69.0,"{""criticality_component"": 40.0, ""urgency_component"": 28.0, ""impact_component"": 1.0}",MODEL_PRIORITY_v1,2026-09-05T10:00:00
PSC0051,TASK0051,26.0,"{""criticality_component"": 10.0, ""urgency_component"": 13.0, ""impact_component"": 3.0}",MODEL_PRIORITY_v1,2026-09-01T10:00:00
PSC0052,TASK0052,35.0,"{""criticality_component"": 10.0, ""urgency_component"": 20.0, ""impact_component"": 5.0}",MODEL_PRIORITY_v1,2026-09-07T10:00:00
PSC0053,TASK0053,55.0,"{""criticality_component"": 30.0, ""urgency_component"": 20.0, ""impact_component"": 5.0}",MODEL_PRIORITY_v1,2026-09-03T10:00:00
PSC0054,TASK0054,32.0,"{""criticality_component"": 10.0, ""urgency_component"": 17.0, ""impact_component"": 5.0}",MODEL_PRIORITY_v1,2026-09-02T10:00:00
PSC0055,TASK0055,31.0,"{""criticality_component"": 20.0, ""urgency_component"": 7.0, ""impact_component"": 4.0}",MODEL_PRIORITY_v1,2026-08-28T10:00:00
PSC0056,TASK0056,74.0,"{""criticality_component"": 40.0, ""urgency_component"": 29.0, ""impact_component"": 5.0}",MODEL_PRIORITY_v1,2026-09-05T10:00:00
PSC0057,TASK0057,24.0,"{""criticality_component"": 10.0, ""urgency_component"": 10.0, ""impact_component"": 4.0}",MODEL_PRIORITY_v1,2026-09-02T10:00:00
PSC0058,TASK0058,36.0,"{""criticality_component"": 20.0, ""urgency_component"": 5.0, ""impact_component"": 11.0}",MODEL_PRIORITY_v1,2026-09-03T10:00:00
PSC0059,TASK0059,30.0,"{""criticality_component"": 20.0, ""urgency_component"": 6.0, ""impact_component"": 4.0}",MODEL_PRIORITY_v1,2026-08-28T10:00:00
PSC0060,TASK0060,88.0,"{""criticality_component"": 50.0, ""urgency_component"": 27.0, ""impact_component"": 11.0}",MODEL_PRIORITY_v1,2026-09-02T10:00:00
